"EAN or ISBN";"name of the product";"product page URL";"internal reference";"product category";"current price";"crossed price";"big image";"description";"manufacturer reference";"condition";"brand";"ecotaxe";"product availability";"shipping costs";"warranty";"discount indicator";"stock indicator";"Taille";"performance indicator";"ID_Parent";"Genre";"Color";"name";"URL"
"0195751105743";"SALOMON Speedcross 6 Gore-tex - Noir / Gris - taille 49 1/3 2026";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304741100V4";"9-121492V0167";"Ekosport > Nos Univers > Trail > Chaussure trail";"112.9";"169.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--RtrEXL8o--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-121492/views/9-121492_speedcross-6-gtx-black-black-phantom_l41738600_01";"Toujours aussi performante, voir encore plus, la SPEEDCROSS 6 GORE-TEX de chez Salomon est une chaussure de trail running pour homme, fidèle à ses origines et à son statut de légende du trail.Présenté dans une version allégée, ce modèle assure une adhérence encore plus puissante et une évacuation plus rapide de la boue. Reprenant l&#039;incroyable confort qui fait la réputation de cette chaussure hors-paire, il bénéficie d’une membrane Gore-Tex imperméable et respirante, qui forme une barrière durable contre les conditions humides et boueuses. De plus, sa tige est réactualisée avec l&#039;usage de textile recyclé et de ripstop renforcé.Enfin, son système de laçage rapide assure un ajustement précis et discret.";"L41738600";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"49 1/3";"https://www.ekosport.fr/salomon-speedcross-6-gore-tex-p-9-121492";"9-121492";"Homme";"Noir / Gris";"SALOMON SPEEDCROSS 6 GORE-TEX";"https://www.ekosport.fr/salomon-speedcross-6-gore-tex-p-9-121492?tai=9-121492V0167"
"0195751196857";"SALOMON Amphib Bold 2 W - Bleu / Violet / Blanc - taille 42 2026";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304823090V4";"9-126249V1132";"Ekosport > Nos Univers > Randonnée > Chaussure de randonnée > Sandale de randonnée";"69.9";"99.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--sWOCMjE_--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-126249/views/9-126249__l47153700_01";"Durant la belle saison, les sportives cherchent en général des accessoires de plus en plus légers avec des matériaux de qualité, aussi versatiles que possibles. C’est pour elles que SALOMON a développé cette chaussure pour femme, la AMPHIB BOLD 2.Pour la composition d’abord, la marque a opté pour une tige synthétique et une doublure mesh. Grâce à cette association de fibres, ce modèle promet d’être résistant à toutes vos pratiques, comme adaptable, car il séchera rapidement. Pour celles qui aiment les voies rocheuses, une languette à soufflet et un bandeau pare-pierre protège le pied de la chute de petits éléments blessants qui pourraient pénétrer à l’intérieur de la chaussure. La AMPHIB BOLD 2 enveloppe le pied grâce au système ingénieux SensiFit™, qui vous assure un maintien maximal. Pour la pratique de tous les sports tout en sécurité, une semelle intercalaire de type EnergyCell absorbe, elle, les chocs, grâce à une composition en mousse EVA.Enfin, la semelle Water Contagrip® offre une adhérence de qualité sur les sols humides ou souples grâce à une structure de crampons rainurés qui draine efficacement l&#039;humidité. Et parce que l’été, on sait qu’on peut parfois rentrer KO d’une sortie rafting ou running, il est possible de porter ce modèle au fit standard en mule, grâce à un talon repliable, et sans l’abimer ! Une option de choix, comme en propose tant SALOMON.";"L47153700";"Neuf";"SALOMON";"";"in stock";"6.99";"";"";"En stock";"42";"https://www.ekosport.fr/salomon-amphib-bold-2-w-p-9-126249";"9-126249";"Femme";"Bleu / Violet / Blanc";"SALOMON AMPHIB BOLD 2 W";"https://www.ekosport.fr/salomon-amphib-bold-2-w-p-9-126249?tai=9-126249V1132"
"0195751383608";"SALOMON Xa Pro 3d V9 Gore-tex - Noir / Gris - taille 49 1/3 2026";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304741101V4";"9-128432V0167";"Ekosport > Nos Univers > Trail > Chaussure trail";"112.9";"169.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--P4pWn2vN--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/products/9-128432/views/9-128432_xa-pro-3d-v9-gtx-black-phantom-pewter_l47270100_01";"Conçu pour les coureurs en quête de performance, la XA PRO 3D V9 GORE-TEX de Salomon est une chaussure pour homme qui possède de nombreuses technologies favorisant le confort, la durabilité et le maintien du pied pour limiter les blessures.Cette chaussure technique est composée de matériaux performants. En effet, la technologie GORE-TEX® permet de garder vos pieds au sec toute la journée, cette matière est étanche et résiste à l’eau mais elle est aussi respirante. De plus, le système de laçage rapide avec sa poche de rangement et les semelles interne EnergyCell&#43; et externe All Terrain Contagrip® apportent le confort, l’accroche et l’adhérence optimale pour profiter au maximum des sentiers qui nous entourent, notamment sur terrain humide ou instable.Cette chaussure dotée d&#039;un pare-pierres est résistante et performante, choisissez là, vous ne serez pas déçu.";"L47270100";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"49 1/3";"https://www.ekosport.fr/salomon-xa-pro-3d-v9-gore-tex-p-9-128432";"9-128432";"Homme";"Noir / Gris";"SALOMON XA PRO 3D V9 GORE-TEX";"https://www.ekosport.fr/salomon-xa-pro-3d-v9-gore-tex-p-9-128432?tai=9-128432V0167"
"0195751311892";"SALOMON Mtn Summit Pure - Noir / Vert - taille 24/24.5 2026";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304787679V4";"9-129145V0481";"Ekosport > Nos Univers > Ski de randonnée > Matériel ski de randonnée > Chaussure ski de randonnée";"329.9";"549.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--m4hqnjDR--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-129145/views/9-129145_mtn-summit-pure_l47342200_01";"La MTN SUMMIT PURE de Salomon est une chaussure de ski de randonnée faite pour ceux qui recherchent un maximum de confort sans pour autant limiter leurs performances en ski. Elle se destine particulièrement aux skieurs d’un niveau intermédiaire.Vous bénéficiez avec ce modèle de toute l’expérience montagnarde de la marque française et serez ravi d’enchainer les montées et les descentes. Vos pieds apprécieront aussi le chausson My CustomFit tour pure entièrement thermoformable ainsi que la coque Custom Shell HD légère et ajustable. Pour parfaire le maintien du pied et particulièrement du talon, elle est équipée d’un serrage touring belt composée d’un serrage BOA® Fit System. Le haut de la tige est quant à lui équipé d’un crochet avec un large Power Strap qui permet le renvoi efficace de la puissance.La qualité de la marche ou de la foulée à la montée est assurée par un débattement de 75° qui se verrouille simplement par le système horizontal cher à Salomon. Cette conception permet d’atténuer les points durs à la descente et libère naturellement le flex. Enfin, l’accroche est excellente grâce à la semelle type trail, développée avec l’équipe Footwear.";"L47342200";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"24/24.5";"https://www.ekosport.fr/salomon-mtn-summit-pure-p-9-129145";"9-129145";"Homme";"Noir / Vert";"SALOMON MTN SUMMIT PURE";"https://www.ekosport.fr/salomon-mtn-summit-pure-p-9-129145?tai=9-129145V0481"
"0195751311908";"SALOMON Mtn Summit Pure - Noir / Vert - taille 25/25.5 2026";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304593071V4";"9-129145V0489";"Ekosport > Nos Univers > Ski de randonnée > Matériel ski de randonnée > Chaussure ski de randonnée";"329.9";"549.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--m4hqnjDR--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-129145/views/9-129145_mtn-summit-pure_l47342200_01";"La MTN SUMMIT PURE de Salomon est une chaussure de ski de randonnée faite pour ceux qui recherchent un maximum de confort sans pour autant limiter leurs performances en ski. Elle se destine particulièrement aux skieurs d’un niveau intermédiaire.Vous bénéficiez avec ce modèle de toute l’expérience montagnarde de la marque française et serez ravi d’enchainer les montées et les descentes. Vos pieds apprécieront aussi le chausson My CustomFit tour pure entièrement thermoformable ainsi que la coque Custom Shell HD légère et ajustable. Pour parfaire le maintien du pied et particulièrement du talon, elle est équipée d’un serrage touring belt composée d’un serrage BOA® Fit System. Le haut de la tige est quant à lui équipé d’un crochet avec un large Power Strap qui permet le renvoi efficace de la puissance.La qualité de la marche ou de la foulée à la montée est assurée par un débattement de 75° qui se verrouille simplement par le système horizontal cher à Salomon. Cette conception permet d’atténuer les points durs à la descente et libère naturellement le flex. Enfin, l’accroche est excellente grâce à la semelle type trail, développée avec l’équipe Footwear.";"L47342200";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"25/25.5";"https://www.ekosport.fr/salomon-mtn-summit-pure-p-9-129145";"9-129145";"Homme";"Noir / Vert";"SALOMON MTN SUMMIT PURE";"https://www.ekosport.fr/salomon-mtn-summit-pure-p-9-129145?tai=9-129145V0489"
"0198720029200";"Pack ski de fond Salomon S/race Eskin Junior + Prolink Shift Jr Cl Blue/black/white 25 - Bleu / Blanc / Noir - modèle 2025 - taille 147 ";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304677894V4";"9-159296V0219";"Ekosport > Nos Univers > Ski de fond > Matériel ski de fond > Pack ski de fond";"204.9";"339.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--b8uLIT4y--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-159296/views/9-159296__l47645300-l47646300_01";"Le S/RACE ESKIN JUNIOR de chez Salomon est un ski nordique pour enfant taillé pour la performance en style classique.Assurant des performances de pointe en compétition, du matin au soir, ce modèle sait s&#039;adapter aux variations de conditions de neige. De plus, le cambre de ce ski garantit un contact direct avec la neige pour des sensations tout en subtilité et facilite la prise d’appui tout en contrôle. Ce modèle profite aussi de la technologie eSKINGRIP&#43; qui offre l’équilibre parfait entre accroche et glisse.Bénéficiant d&#039;une finition de niveau coupe du monde, ce ski possède une semelle universelle G5 préfarté.";"L47645300+L47646300";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"147";"https://www.ekosport.fr/salomon-s-race-eskin-junior-prolink-shift-jr-cl-p-9-159296";"9-159296";"Enfant";"Bleu / Blanc / Noir";"SALOMON S/RACE ESKIN JUNIOR + PROLINK SHIFT JR CL";"https://www.ekosport.fr/salomon-s-race-eskin-junior-prolink-shift-jr-cl-p-9-159296?tai=9-159296V0219"
"0195751679411";"SALOMON Highland Jacket - Bleu / Noir - taille XXL 2025";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304753261V4";"9-164134V1353";"Ekosport > Nos Univers > Ski alpin > Vêtement de ski > Veste de ski";"114.9";"299.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--fFP6YJJy--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-164134/views/9-164134__lc2353600_01";"La HIGHLAND de Salomon est une veste de ski pour homme qui pense à tout.Ne laissant rien passer grâce sa membrane AdvancedSkin Dry 10 000 / 10 000 et son traitement déperlant, ce modèle laisse la peau respirer pour éviter au skieur de transpirer, tandis qu&#039;il ajoute une isolation PrimaLoft® Black Eco qui fait barrière au froid hivernal sans ajout de poids. Cette veste profite également d&#039;une construction Motion Fit avec tissu stretch 4 directions pour une aisance gestuelle maximale, couplée à une doublure respirante. De nombreux détails fonctionnels viennent amplifier son efficacité sur la neige.Ce modèle possède les incontournables poches, jupe pare-neige, capuche et ventilations, mais aussi des poignets avec passant pouce, une mentonnière douce, tout en étant compatible avec le port d&#039;un baudrier et d&#039;un sac à dos.";"LC2353600";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"XXL";"https://www.ekosport.fr/salomon-highland-jacket-p-9-164134";"9-164134";"Homme";"Bleu / Noir";"SALOMON HIGHLAND JACKET";"https://www.ekosport.fr/salomon-highland-jacket-p-9-164134?tai=9-164134V1353"
"0195751679169";"SALOMON Highland Jacket W - Blanc - taille XS 2025";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304824458V4";"9-164135V1343";"Ekosport > Nos Univers > Ski alpin > Vêtement de ski > Veste de ski";"114.9";"299.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--rbSx6hb3--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-164135/views/9-164135__lc2353900_01";"La HIGHLAND W de Salomon est une veste de ski pour femme qui pense à tout.Ne laissant rien passer grâce sa membrane AdvancedSkin Dry 10 000 / 10 000 et son traitement déperlant, ce modèle laisse la peau respirer pour éviter à la skieuse de transpirer, tandis qu&#039;il ajoute une isolation PrimaLoft® Black Eco qui fait barrière au froid hivernal sans ajout de poids. Cette veste profite également d&#039;une construction avec tissu stretch pour une aisance gestuelle maximale, couplée à une doublure respirante. De nombreux détails fonctionnels viennent amplifier son efficacité sur la neige.Ce modèle possède les incontournables poches, jupe pare-neige, capuche et ventilations, mais aussi des poignets ajustables, une mentonnière douce, tout en étant compatible avec le port d&#039;un baudrier et d&#039;un sac à dos.";"LC2353900";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"XS";"https://www.ekosport.fr/salomon-highland-jacket-w-p-9-164135";"9-164135";"Femme";"Blanc";"SALOMON HIGHLAND JACKET W";"https://www.ekosport.fr/salomon-highland-jacket-w-p-9-164135?tai=9-164135V1343"
"0195751784719";"SALOMON X Ultra Snowpilot Wp - Noir / Vert - taille 46 2/3 2026";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304704949V4";"9-166920V0093";"Ekosport > Nos Univers > Ski alpin > Vêtement de ski > Après ski";"121.9";"169.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--c3dFTAye--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-166920/views/9-166920__l47585700_01";"La chaussure pour homme X ULTRA SNOWPILOT WP de Salomon est votre meilleur allié pour affronter les conditions hivernales les plus extrêmes. Qu&#039;il s&#039;agisse de randonner sur des sentiers enneigés ou de braver les tempêtes de neige, cette chaussure combine chaleur, stabilité et protection ultime. Conçue avec la technologie avancée de la gamme X-ULTRA, elle vous garantit une foulée fluide, une adhérence inégalée et une protection totale contre les intempéries. Avec elle, vous êtes prêt à conquérir l&#039;hiver sans compromis !La stabilité sur la neige est assurée par l’Advanced Chassis™, qui offre un maintien latéral optimal et une excellente fluidité de marche sur terrains humides ou enneigés. Associée à la semelle Winter Contagrip®, cette chaussure garantit une adhérence exceptionnelle sur tous types de neige, qu&#039;elle soit tassée ou fraîche. Ajoutez à cela une isolation adv.WARM composée à 70 % de matériaux recyclés, et vos pieds resteront bien au chaud tout au long de la journée, enveloppés dans un confort douillet grâce au col en polaire.Enfin, pour une protection optimale contre les éléments, la X ULTRA SNOWPILOT WP est dotée de la membrane imperméable adv.DRY et d’une tige en cuir enduit PU robuste, pour garder vos pieds bien à l’abri de l’humidité et des débris. Le pare-pierres moulé renforce encore plus la durabilité de cette chaussure, la rendant idéale pour vos aventures hivernales les plus intenses. Enfilez-les, et laissez-vous guider par vos envies d&#039;exploration dans la neige, sans vous soucier du froid ou de l&#039;humidité !";"L47585700";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"46 2/3";"https://www.ekosport.fr/salomon-x-ultra-snowpilot-wp-p-9-166920";"9-166920";"Homme";"Noir / Vert";"SALOMON X ULTRA SNOWPILOT WP";"https://www.ekosport.fr/salomon-x-ultra-snowpilot-wp-p-9-166920?tai=9-166920V0093"
" ";"Pack ski de fond Salomon S/race Skate Jr + Prolink Shift 26 - Bleu / Blanc - modèle 2026 - taille 148 ";"https://iza.ekosport.fr/?P4E23158990717S1UE41267304682797V4";"9-167219V0223";"Ekosport > Nos Univers > Ski de fond > Matériel ski de fond > Pack ski de fond";"214.9";"339.900000";"https://res.cloudinary.com/ekoweb/image/upload/s--t-3ckdQE--/f_auto%2Ch_600%2Cq_auto:eco%2Cw_600/v1/products/9-167219/views/9-167219_salomon-s-race-skate-jr-prolink-shift-25---uni_l49245100-l4764620001_01";"Le ski de skating S/RACE SKATE JR de Salomon bénéficie des avancées techniques issues des coureurs de Coupe du Monde et offre aux jeunes skieurs d’excellentes performances en entrainements et en compétitions.En effet, le noyau Stringer à structure en arête de poisson inversée réduit le volume de matière première utilisée dans le noyau tout en conservant l’intégrité structurelle et la rigidité en torsion du ski. La glisse n’est pas laissée pour compte, car ce modèle emporte la superbe semelle universelle G5 utilisée en haut niveau et offre une glisse incomparable sur les différents types de neige. Elle est livrée pré-fartée avec un fart Swix sans fluor et elle est structurée à la pierre pour plus de vitesseC’est clairement le modèle idéal avant de passer à la catégorie reine.";"L49245100+L4764620001";"Neuf";"SALOMON";"";"in stock";"1";"";"";"En stock";"148";"https://www.ekosport.fr/salomon-salomon-s-race-skate-jr-prolink-shift-25-uni-p-9-167219";"9-167219";"Enfant";"Bleu / Blanc";"SALOMON SALOMON S/RACE SKATE JR + PROLINK SHIFT 25 - UNI";"https://www.ekosport.fr/salomon-salomon-s-race-skate-jr-prolink-shift-25-uni-p-9-167219?tai=9-167219V0223"
