product_old_custom_label4;count;product_categories;examples
"Ski / Autres sports > Ski > Sous-couches de ski";101;"Clothing & Accessories > Clothing > Underwear & Socks > Vests | Clothing & Accessories > Clothing > Shirts & Tops";"Collant Merino 200 Oasis - Homme - s - Icebreaker | Collant Merino 200 Oasis - Homme - l - Icebreaker | Collant Merino 200 Oasis - Homme - xl - Icebreaker | Collant Merino 200 Oasis - Homme - xxl - Icebreaker | Collant Long Performance Warm - Femme - m - Odlo"
"Ski / Autres sports > Ski > Pantalons de ski";97;"Clothing & Accessories > Clothing > Outerwear > Snow Trousers & Suits";"Pantalon Stormstride - Homme - l - Patagonia | Pantalon Nallo Ii - Femme - 44 - Millet | Pantalon Nallo Ii - Femme - 42 - Millet | Pantalon Nallo Ii - Femme - 44 - Millet | Salopette Dual Aspect - Homme - s - Patagonia"
"Ski / Autres sports > Ski > Vestes de ski";78;"Clothing & Accessories > Clothing > Outerwear > Coats & Jackets";"Veste Nano-air Capuche - Homme - xl - Patagonia | Veste Nano-air Capuche - Homme - xs - Patagonia | Veste Tamok Gore-tex - Homme - s - Norrøna | Veste Tamok Gore-tex - Homme - m - Norrøna | Veste Tamok Gore-tex - Homme - l - Norrøna"
"Autres sports > Ski > Vestes";70;"Clothing & Accessories > Clothing > Outerwear > Coats & Jackets";"Polaire Futurefleece Capuche - Homme - xl - NORTH FACE | Veste Kamet Gtx - Homme - xl - Millet | Veste Kamet Gtx - Homme - xl - Millet | Veste Kamet Gtx - Homme - xs - Millet | Veste Kamet Gtx - Homme - xl - Millet"
"Autres sports > Ski > Gants";50;"Clothing & Accessories > Clothing Accessories > Gloves & Mittens";"Moufles Chauffantes Ultra Heat Boost - Homme - l - Therm-ic | Gants Telluride Glv - Homme - l - Millet | Gants Lyngen Gore-tex Windstopper Infinium Leather - m - Norrøna | Gants Lofoten Gore-tex Thermo100 - s - Norrøna | Gants Lofoten Gore-tex Thermo100 - m - Norrøna"
"Ski / Autres sports > Ski > Gants de ski";40;"Clothing & Accessories > Clothing Accessories > Gloves & Mittens";"Gants Waterproof Light - l - Odlo | Gants Waterproof Light - xl - Odlo | Gants Waterproof Light - xs - Odlo | Gants Waterproof Light - s - Odlo | Gants Waterproof Light - m - Odlo"
"Ski / Autres sports > Ski > Masques / Casques de ski";34;"Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Ski & Snowboarding Goggles";"Masque De Ski Proton - rea 2-3 - Julbo | Masque De Ski Fusion - rea 1-3 hc - Julbo | Masque De Ski Shadow - rea 2-4 pl - Julbo | Masque De Ski Shadow - rea 1-3 hc - Julbo | Masque De Ski Shadow - rea 1-3 gc - Julbo"
"Autres sports > Ski > Casques de ski";18;"Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Ski & Snowboarding Helmets";"Casque De Ski The Peak Lt - 52/56 - Julbo | Casque Globe Evo - 54/58 - Julbo | Casque Shortcuts - 58/62 - Julbo | Casque Shortcuts - 54/58 - Julbo | Casque De Ski Shortcuts - 49/54 - Julbo"
"Ski / Autres sports > Ski > Accessoires de ski";15;"Clothing & Accessories > Clothing Accessories | Clothing & Accessories > Clothing Accessories > Headwear";"Tour De Cou Tube Ceramiwarm Pro  - Odlo | Bonnet Word Head  - Arc’teryx | Gants Lofoten Dri1 Primaloft170 - m - Norrøna | Gants Patrol - xs - Black DiamOnd | Gants Patrol - s - Black DiamOnd"
"Autres sports > Ski > Pantalons";10;"Clothing & Accessories > Clothing > Outerwear > Snow Trousers & Suits";"Pantalon Khroma Diffract - Homme - m - Rab | Pantalon Khroma Diffract - Homme - s - Rab | Pantalon Falketind Dri1 - Homme - s - Norrøna | Pantalon Falketind Dri1 - Homme - m - Norrøna | Pantalon Falketind Dri1 - Homme - l - Norrøna"
"Autres sports > Ski > Casques";9;"Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Ski & Snowboarding Helmets";"Casque De Ski Conquest - 55/58 - Julbo | Casque De Ski Conquest - 53/55 - Julbo | Casque De Ski Hal Next - 58/62 - Julbo | Casque De Ski Hal Next - 54/58 - Julbo | Casque De Ski Hal Next - 54/58 - Julbo"
"Autres sports > Ski > Sous-couches";8;"Clothing & Accessories > Clothing > Underwear & Socks > Vests";"Sous-couche Performance Warm Eco - Homme - s - Odlo | Sous-couche Performance Warm Eco - Homme - l - Odlo | Sous-couche Performance Warm Eco - Homme - xl - Odlo | Sous-couche Performance Warm Eco - Homme - xl - Odlo | Collant Rho - Femme - xs - Arc’teryx"
"Autres sports > Ski > Sous-couches de ski";6;"Clothing & Accessories > Clothing > Underwear & Socks > Vests";"Sous-couche Active Warm - Femme - xs - Odlo | Sous-couche Active Warm - Femme - s - Odlo | Sous-couche Active Warm - Femme - m - Odlo | Sous-couche Active Warm - Femme - l - Odlo | Sous-couche Active Warm - Femme - xl - Odlo"
"Autres sports > Ski > Vestes de ski";6;"Clothing & Accessories > Clothing > Outerwear > Coats & Jackets";"Veste Trilogy Icon Gtx Pro 3l - Homme - xl - Millet | Veste Trilogy Icon Gtx Pro 3l - Homme - s - Millet | Veste Trilogy Icon Gtx Pro 3l - Homme - m - Millet | Veste Trilogy Icon Gtx Pro 3l - Homme - xl - Millet | Veste Trilogy Icon Gtx Pro 3l - Homme - l - Millet"
"Autres sports > Ski > Pantalons de ski";3;"Clothing & Accessories > Clothing > Outerwear > Snow Trousers & Suits";"Pantalon Line - Homme - m - MOntura | Pantalon Line - Homme - l - MOntura | Pantalon Line - Homme - xl - MOntura"
"Ski / Autres sports > Ski > Sacs à dos de ski";1;"Luggage & Bags > Backpacks";"Sac À Dos Descensionist Snow 37l - s - Patagonia"
